100 DENE DR ,-92.28515177,38.95356591,CO
100 DIEGO CT ,-92.34069905,38.90830092,CO
100 DUNDEE DR ,-92.37698326,38.95328483,CO
100 EDGEWOOD AVE ,-92.3434447,38.95026217,CO
100 EDGEWOOD DR ,-92.22251069,39.11238068,HA
100 EL CORTEZ DR E,-92.33852242,38.9138287,CO
100 FILLMORE CT ,-92.2147264,39.11901816,HA
100 FIRST ST N,-92.31139654,38.69641614,HB
100 FOREST AVE E,-92.33612019,38.96280959,CO
100 FOURTH ST N,-92.33274472,38.95303829,CO
100 FOXWOOD CT ,-92.40766882,38.95509541,CO
100 GARTH AVE N,-92.3387472,38.95293544,CO
100 GIPSON ST ,-92.33851349,38.9766481,CO
100 GLENWOOD AVE S,-92.34689773,38.95050767,CO
100 GRANADA BLVD ,-92.34075925,38.91003912,CO
100 GREEN MEADOWS RD E,-92.33802902,38.91621453,CO
100 GREEN MEADOWS RD W,-92.34014222,38.91628483,CO
100 HEATHER LN S,-92.37584248,38.95323983,CO
100 HIGHWAY UU  N,-92.42642168,38.95902457,CO
100 HINTON RD E,-92.33713801,39.0529897,CO
100 HITT ST ,-92.32509535,38.95026046,CO
100 HOE-DOWN DR E,-92.34384647,38.88529383,CO
100 HOWARD ST ,-92.56893996,38.97834351,RO
100 KEENE ST N,-92.29014596,38.95151349,CO
100 KEENE ST S,-92.29012451,38.94817733,CO
100 KELS DR ,-92.22538493,39.11237019,HA
100 KIPLING WAY ,-92.27719739,38.94864207,CO
100 KNOLLWOOD CT ,-92.40960833,38.95421626,CO
100 LESLIE LN W,-92.33872029,38.9719166,CO
100 LEXIBELLE DR ,-92.25851445,38.95095093,CO
100 LINDELL DR ,-92.35031704,38.95109042,CO
100 LOCH LN ,-92.37350824,38.95325266,CO
100 MANOR CT ,-92.36322052,38.95161512,CO
100 MANOR DR ,-92.36254177,38.9514708,CO
100 MAPLEWOOD DR ,-92.36130781,38.95164375,CO
100 MASON CT ,-92.22433056,39.11168045,HA
100 MCDOWELL ST E,-92.28082258,39.23148865,ST
100 MOHAWK AVE ,-92.26217962,38.97521973,CO
100 MONITEAU ST ,-92.56779096,38.97814073,RO
100 MOONGLOW LN N,-92.22126497,38.94938163,CO
100 MUMFORD DR ,-92.39270776,38.95458755,CO
100 MURPHY DR E,-92.34005825,39.00709316,CO
100 NINTH ST S,-92.32738667,38.95033036,CO
100 NORTH CEDAR LAKE DR E,-92.33820703,38.89692517,CO
100 OAK LN ,-92.22185216,39.11171079,HA
100 OGDEN ST N,-92.28039407,39.23412818,ST
100 OLD 63  N,-92.31114577,38.95150591,CO
100 PAIGE CT ,-92.2226531,39.11177486,HA
100 PARKADE BLVD ,-92.33865278,38.97387364,CO
100 PARKVIEW DR ,-92.30099725,38.95335559,CO
100 PATTON ST E,-92.28070851,39.23239978,ST
100 PEPPER GRASS DR ,-92.3920774,38.95634064,CO
100 PHYLLIS AVE W,-92.33864008,38.9729164,CO
100 PIKE ST ,-92.56207337,38.97826766,RO
100 POPLAR HILL DR E,-92.34366324,38.88758409,CO
100 PORT WAY ,-92.25058953,38.95150072,CO
100 PROVIDENCE RD N,-92.33373793,38.95298385,CO
100 RAILROAD ST W,-92.13766181,39.2124339,CE
100 RAINBOW DR N,-92.22483522,38.94937758,CO
